S/N,Project ID,Data requested,BI service,Delivery Method,RNA Box No.,Original Sample Position,Sample Accession Number [R8800xxxx],Internal ID,Client's Sample name  ,Sample Origin,RIN,Nanodrop Conc (ng/uL),Nanodrop A260/280,Nanodrop A230/260,DV200,Stranded/ Non-stranded,200ng RNA input Vol[ul],NFW ul (to 8ul),Input plate position,RNA input [ng],Library  Prep Plate,Lib_Conc. (ng/ul),D1000 Tapestation Library peak Size(bp),D1000 Tapestation Library Average Size(bp),Library Prep,Well Position,ng for pooling for 1pmol,volume for circularization (µl),ssCir plate pos,Qubit ssDNA Conc.[ng/µL] (>0.6),"DNB conc
Qubit ssDNA ng/ul",Index(*),Sequencing Mode(*),Required Reads,data output,output_ratio,Flowcell ID,Read1 files path(*),Read2 files path
254,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,F08,R88009470,,10_24_IFNg_WT_EV_002,Cultured Cells,10,52.5,2.1,1,97.2,Stranded,3.8,4.2,D7,200,LP15,14.41,498,493,LP15,D7,325.38,2.26,C1,3.15,19.7,UDB244,PE150,40,41.9,1.05,E250009173,,
255,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,G08,R88009471,,10_24_IFNg_WT_EV_003,Cultured Cells,10,53.1,2.1,0.7,97.1,Stranded,3.8,4.2,E7,200,LP15,18.07,488,498,LP15,E7,328.68,1.82,C1,3.15,19.7,UDB245,PE150,40,63.5,1.59,E250009173,,
256,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,H08,R88009472,,10_24_IFNg_WT_Cre_001,Cultured Cells,9.9,54.1,2.1,0.9,97.6,Stranded,3.7,4.3,F7,200,LP15,13.13,489,496,LP15,F7,327.36,2.49,C1,3.15,19.7,UDB246,PE150,40,58.8,1.47,E250009173,,
257,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,A09,R88009473,,10_24_IFNg_WT_Cre_002,Cultured Cells,9.9,51.2,2.1,0.6,98,Stranded,3.9,4.1,G7,200,LP15,12.84,484,476,LP15,G7,314.16,2.45,C1,3.15,19.7,UDB247,PE150,40,57.8,1.44,E250009173,,
258,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,B09,R88009474,,10_24_IFNg_WT_Cre_003,Cultured Cells,10,52.8,2.1,0.9,97.8,Stranded,3.8,4.2,H7,200,LP15,13.17,471,470,LP15,H7,310.2,2.36,C1,3.15,19.7,UDB248,PE150,40,61.7,1.54,E250009173,,
259,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,C09,R88009475,,10_24_IFNg_D3a_EV_001,Cultured Cells,10,55.3,2.1,1.6,97.7,Stranded,3.6,4.4,A8,200,LP15,13.53,489,497,LP15,A8,328.02,2.42,C1,3.15,19.7,UDB249,PE150,40,63,1.58,E250009173,,
260,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,D09,R88009476,,10_24_IFNg_D3a_EV_002,Cultured Cells,9.9,54.6,2.1,1.7,97.8,Stranded,3.7,4.3,B8,200,LP15,21.41,487,500,LP15,B8,330,1.54,C1,3.15,19.7,UDB250,PE150,40,46.1,1.15,E250009173,,
261,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,E09,R88009477,,10_24_IFNg_D3a_EV_003,Cultured Cells,9.9,42.9,2.1,0.7,97.9,Stranded,4.7,3.3,C8,200,LP15,26.04,484,494,LP15,C8,326.04,1.25,C1,3.15,19.7,UDB251,PE150,40,56.6,1.41,E250009173,,
262,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,F09,R88009478,,10_24_IFNg_D3a_Cre_001,Cultured Cells,10,57,2.1,1.8,98,Stranded,3.5,4.5,D8,200,LP15,21.67,488,502,LP15,D8,331.32,1.53,C1,3.15,19.7,UDB252,PE150,40,60.6,1.52,E250009173,,
263,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,G09,R88009479,,10_24_IFNg_D3a_Cre_002,Cultured Cells,10,56.4,2.1,0.9,98.1,Stranded,3.5,4.5,E8,200,LP15,21.18,484,492,LP15,E8,324.72,1.53,C2,3.55,17.2,UDB253,PE150,40,56.1,1.4,E250009173,,
264,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,H09,R88009480,,10_24_IFNg_D3a_Cre_003,Cultured Cells,10,56.7,2.1,1,97.8,Stranded,3.5,4.5,F8,200,LP15,19.02,488,499,LP15,F8,329.34,1.73,C2,3.55,17.2,UDB254,PE150,40,57.9,1.45,E250009173,,
265,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,A10,R88009481,,100_24_IFNg_WT_EV_001,Cultured Cells,10,47.5,2.1,0.9,97.6,Stranded,4.2,3.8,G8,200,LP15,18.27,481,483,LP15,G8,318.78,1.75,C2,3.55,17.2,UDB255,PE150,40,64.7,1.62,E250009173,,
266,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,B10,R88009482,,100_24_IFNg_WT_EV_002,Cultured Cells,10,55,2.1,0.6,97.1,Stranded,3.6,4.4,H8,200,LP15,12.77,479,483,LP15,H8,318.78,2.5,C2,3.55,17.2,UDB256,PE150,40,66.5,1.66,E250009173,,
267,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,C10,R88009483,,100_24_IFNg_WT_EV_003,Cultured Cells,10,50.3,2.1,1.1,97.3,Stranded,4,4,A9,200,LP15,13.96,489,484,LP15,A9,319.44,2.29,C2,3.55,17.2,UDB257,PE150,40,63.2,1.58,E250009173,,
268,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,D10,R88009484,,100_24_IFNg_WT_Cre_001,Cultured Cells,10,56.5,2.1,1.3,97.6,Stranded,3.5,4.5,B9,200,LP15,24.52,487,494,LP15,B9,326.04,1.33,C2,3.55,17.2,UDB258,PE150,40,65.8,1.65,E250009173,,
269,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,E10,R88009485,,100_24_IFNg_WT_Cre_002,Cultured Cells,10,56.6,2.1,1.2,95.6,Stranded,3.5,4.5,C9,200,LP15,8.06,491,490,LP15,C9,323.4,4.01,C2,3.55,17.2,UDB259,PE150,40,37.8,0.95,E250009173,,
270,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,F10,R88009486,,100_24_IFNg_WT_Cre_003,Cultured Cells,10,57.1,2.1,2.2,97,Stranded,3.5,4.5,D9,200,LP15,12.86,490,511,LP15,D9,337.26,2.62,C2,3.55,17.2,UDB260,PE150,40,60.1,1.5,E250009173,,
271,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,G10,R88009487,,100_24_IFNg_D3a_EV_001,Cultured Cells,10,59,2.1,0.4,97.2,Stranded,3.4,4.6,E9,200,LP15,11.41,486,492,LP15,E9,324.72,2.85,C2,3.55,17.2,UDB261,PE150,40,60.8,1.52,E250009173,,
272,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,H10,R88009488,,100_24_IFNg_D3a_EV_002,Cultured Cells,9.9,58,2.1,1.3,97.3,Stranded,3.4,4.6,F9,200,LP15,14.68,463,489,LP15,F9,322.74,2.2,C2,3.55,17.2,UDB262,PE150,40,64.2,1.6,E250009173,,
273,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,A11,R88009489,,100_24_IFNg_D3a_EV_003,Cultured Cells,10,57.8,2.1,1.8,97.6,Stranded,3.5,4.5,G9,200,LP15,16.68,485,495,LP15,G9,326.7,1.96,C3,3.11,19.7,UDB263,PE150,40,,0,E250009173,,
274,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,B11,R88009490,,100_24_IFNg_D3a_Cre_001,Cultured Cells,10,59.8,2.1,1.2,97.9,Stranded,3.3,4.7,H9,200,LP15,11.73,483,487,LP15,H9,321.42,2.74,C3,3.11,19.7,UDB264,PE150,40,56,1.4,E250009173,,
275,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,C11,R88009491,,100_24_IFNg_D3a_Cre_002,Cultured Cells,10,57.9,2.1,1.6,97.7,Stranded,3.5,4.5,A10,200,LP15,8.79,484,480,LP15,A10,316.8,3.61,C3,3.11,19.7,UDB265,PE150,40,69.4,1.74,E250009173,,
276,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,D11,R88009492,,100_24_IFNg_D3a_Cre_003,Cultured Cells,10,57.3,2.1,1.6,97.5,Stranded,3.5,4.5,B10,200,LP15,14.58,467,471,LP15,B10,310.86,2.13,C3,3.11,19.7,UDB266,PE150,40,62.6,1.56,E250009173,,
277,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,E11,R88009493,,10_72_IFNg_WT_EV_001,Cultured Cells,10,56.3,2.2,0.3,97.1,Stranded,3.6,4.4,C10,200,LP15,24.33,475,481,LP15,C10,317.46,1.3,C3,3.11,19.7,UDB267,PE150,40,71.7,1.79,E250009173,,
278,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,F11,R88009494,,10_72_IFNg_WT_EV_002,Cultured Cells,10,56.3,2.2,0.4,96.5,Stranded,3.6,4.4,D10,200,LP15,22.46,480,475,LP15,D10,313.5,1.4,C3,3.11,19.7,UDB268,PE150,40,67.3,1.68,E250009173,,
279,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,G11,R88009495,,10_72_IFNg_WT_EV_003,Cultured Cells,10,53,2.1,0.5,97.1,Stranded,3.8,4.2,E10,200,LP15,18.32,483,486,LP15,E10,320.76,1.75,C3,3.11,19.7,UDB269,PE150,40,67.8,1.7,E250009173,,
280,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,H11,R88009496,,10_72_IFNg_WT_Cre_001,Cultured Cells,10,44.6,2.1,0.6,96.9,Stranded,4.5,3.5,F10,200,LP15,18.1,479,484,LP15,F10,319.44,1.76,C3,3.11,19.7,UDB270,PE150,40,58.9,1.47,E250009173,,
281,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,A12,R88009497,,10_72_IFNg_WT_Cre_002,Cultured Cells,10,51.3,2.2,0.2,96.9,Stranded,3.9,4.1,G10,200,LP15,18.08,486,490,LP15,G10,323.4,1.79,C3,3.11,19.7,UDB271,PE150,40,61,1.53,E250009173,,
282,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,B12,R88009498,,10_72_IFNg_WT_Cre_003,Cultured Cells,9.9,52.8,2.2,0.6,95.3,Stranded,3.8,4.2,H10,200,LP15,16.79,467,482,LP15,H10,318.12,1.89,C3,3.11,19.7,UDB272,PE150,40,67.9,1.7,E250009173,,
283,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,C12,R88009499,,10_72_IFNg_D3a_EV_001,Cultured Cells,9.9,55.7,2.1,0.5,96.7,Stranded,3.6,4.4,A11,200,LP15,11.82,493,510,LP15,A11,336.6,2.85,C4,3.24,18.5,UDB273,PE150,40,54.7,1.37,E250009173,,
284,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,D12,R88009500,,10_72_IFNg_D3a_EV_002,Cultured Cells,9.8,51.9,2.1,0.5,97.2,Stranded,3.9,4.1,B11,200,LP15,19.07,493,509,LP15,B11,335.94,1.76,C4,3.24,18.5,UDB274,PE150,40,63.5,1.59,E250009173,,
285,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,E12,R88009501,,10_72_IFNg_D3a_EV_003,Cultured Cells,9.8,58.6,2.1,0.7,96.5,Stranded,3.4,4.6,C11,200,LP15,16.97,487,485,LP15,C11,320.1,1.89,C4,3.24,18.5,UDB275,PE150,40,60.5,1.51,E250009173,,
286,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,F12,R88009502,,10_72_IFNg_D3a_Cre_001,Cultured Cells,10,44.3,2.1,0.3,96.4,Stranded,4.5,3.5,D11,200,LP15,11.33,485,475,LP15,D11,313.5,2.77,C4,3.24,18.5,UDB276,PE150,40,55.4,1.38,E250009173,,
287,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,G12,R88009503,,10_72_IFNg_D3a_Cre_002,Cultured Cells,10,46,2.1,0.5,96.6,Stranded,4.4,3.6,E11,200,LP15,16.93,483,489,LP15,E11,322.74,1.91,C4,3.24,18.5,UDB277,PE150,40,46.9,1.17,E250009173,,
288,RNA_20240408_128,40M,Fastq,AWS,RNA Box 18,H12,R88009504,,10_72_IFNg_D3a_Cre_003,Cultured Cells,9.7,58.2,2.1,0.7,96.3,Stranded,3.4,4.6,F11,200,LP15,15.01,486,495,LP15,F11,326.7,2.18,C4,3.24,18.5,UDB278,PE150,40,59.2,1.48,E250009173,,
289,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,A01,R88009505,,100_72_IFNg_WT_EV_001,Cultured Cells,9.9,55.3,2.2,0.3,9.9,Stranded,3.6,4.4,G11,200,LP15,18.07,475,481,LP15,G11,317.46,1.76,C4,3.24,18.5,UDB279,PE150,40,53.2,1.33,E250009173,,
290,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,B01,R88009506,,100_72_IFNg_WT_EV_002,Cultured Cells,10,56.7,2.2,0.4,10,Stranded,3.5,4.5,H11,200,LP15,16.77,474,477,LP15,H11,314.82,1.88,C4,3.24,18.5,UDB280,PE150,40,46.3,1.16,E250009173,,
291,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,C01,R88009507,,100_72_IFNg_WT_EV_003,Cultured Cells,10,49.2,2.2,0.6,10,Stranded,4.1,3.9,A12,200,LP15,12.01,486,485,LP15,A12,320.1,2.66,C4,3.24,18.5,UDB281,PE150,40,66.5,1.66,E250009173,,
292,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,D01,R88009508,,100_72_IFNg_WT_Cre_001,Cultured Cells,9.9,55.7,2.2,0.6,9.9,Stranded,3.6,4.4,B12,200,LP15,18.36,485,490,LP15,B12,323.4,1.76,C4,3.24,18.5,UDB282,PE150,40,54.2,1.36,E250009173,,
293,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,E01,R88009509,,100_72_IFNg_WT_Cre_002,Cultured Cells,10,58.7,2.2,0.4,10,Stranded,3.4,4.6,C12,200,LP15,16.07,468,480,LP15,C12,316.8,1.97,C5,3.61,18.7,UDB283,PE150,40,53.1,1.33,E250009173,,
294,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,F01,R88009510,,100_72_IFNg_WT_Cre_003,Cultured Cells,10,57.3,2.2,0.6,10,Stranded,3.5,4.5,D12,200,LP15,19.02,482,486,LP15,D12,320.76,1.69,C5,3.61,18.7,UDB284,PE150,40,57.3,1.43,E250009173,,
295,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,G01,R88009511,,100_72_IFNg_D3a_EV_001,Cultured Cells,9.7,49.34,2.11,0.32,9.7,Stranded,4.1,3.9,E12,200,LP15,17.51,482,493,LP15,E12,325.38,1.86,C5,3.61,18.7,UDB285,PE150,40,57.2,1.43,E250009173,,
296,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,H01,R88009512,,100_72_IFNg_D3a_EV_002,Cultured Cells,9.4,58.17,2.13,0.4,9.4,Stranded,3.4,4.6,F12,200,LP15,13.96,488,499,LP15,F12,329.34,2.36,C5,3.61,18.7,UDB286,PE150,40,54.1,1.35,E250009173,,
297,Hu Ref RNA,,,,,,Hu Ref RNA,,Hu Ref RNA,,N/A,81.3,N/A,N/A,N/A,Stranded,2.5,5.5,G12,200,LP15,29.49,477,485,LP15,G12,320.1,1.09,C5,3.61,18.7,UDB287,PE150,40,61.2,1.53,E250009173,,
298,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,A02,R88009513,,100_72_IFNg_D3a_EV_003,Cultured Cells,9.5,47.1,2.2,0.3,96.3,Stranded,4.2,3.8,A1,200,LP16,18.51,487,495,LP16,A1,326.7,1.76,C5,3.61,18.7,UDB289,PE150,40,61.2,1.53,E250009173,,
299,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,B02,R88009514,,100_72_IFNg_D3a_Cre_001,Cultured Cells,10,51.6,2.1,0.4,96.3,Stranded,3.9,4.1,A2,200,LP16,8.38,498,501,LP16,A2,330.66,3.95,C5,3.61,18.7,UDB290,PE150,40,57,1.42,E250009173,,
300,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,C02,R88009515,,100_72_IFNg_D3a_Cre_002,Cultured Cells,10,59.1,2.2,0.5,95.9,Stranded,3.4,4.6,A3,200,LP16,15.33,493,495,LP16,A3,326.7,2.13,C5,3.61,18.7,UDB291,PE150,40,52.1,1.3,E250009173,,
301,RNA_20240408_128,40M,Fastq,AWS,RNA Box 19,D02,R88009516,,100_72_IFNg_D3a_Cre_003,Cultured Cells,10,49.7,2.2,0.5,96.8,Stranded,4,4,A4,200,LP16,19.97,490,502,LP16,A4,331.32,1.66,C5,3.61,18.7,UDB292,PE150,40,58.8,1.47,E250009173,,
302,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,A01,R88009529,,1. HH781 ctr wk2 c,Cultured Cells,9.6,61.2,2,2.3,96.9,Stranded,3.3,4.7,A5,200,LP16,31.9,506,514,LP16,A5,339.24,1.06,C5,3.61,18.7,UDB293,PE150,40,62.8,1.57,E250009173,,
303,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,B01,R88009530,,2. HH782 ctr wk2 c,Cultured Cells,9.7,55,2,2.3,96,Stranded,3.6,4.4,A6,200,LP16,14.08,494,499,LP16,A6,329.34,2.34,C6,3.4,21.1,UDB294,PE150,40,32.7,0.82,E250009173,,
304,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,C01,R88009531,,3. HH783 ctr wk2 c,Cultured Cells,9.4,55.9,1.9,2.2,96.3,Stranded,3.6,4.4,A7,200,LP16,34.94,496,518,LP16,A7,341.88,0.98,C6,3.4,21.1,UDB295,PE150,40,49.1,1.23,E250009173,,
305,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,D01,R88009532,,4. HH781 treated wk2 c,Cultured Cells,9.6,31.6,1.8,2.1,94.6,Stranded,6.3,1.7,A8,200,LP16,33.8,508,533,LP16,A8,351.78,1.04,C6,3.4,21.1,UDB296,PE150,40,52.8,1.32,E250009173,,
306,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,E01,R88009533,,5. HH782 treated wk2 c,Cultured Cells,9.5,44.2,1.9,2.4,95.3,Stranded,4.5,0,A9,200,LP16,28.2,512,535,LP16,A9,353.1,1.25,C6,3.4,21.1,UDB297,PE150,40,59.2,1.48,E250009173,,
307,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,F01,R88009534,,6. HH783 treated wk2 c,Cultured Cells,9.6,59.9,1.9,2.4,95.1,Stranded,3.3,4.7,A10,200,LP16,17.68,494,511,LP16,A10,337.26,1.91,C6,3.4,21.1,UDB298,PE150,40,62.9,1.57,E250009173,,
308,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,G01,R88009535,,7. HH781 ctr wk4 b,Cultured Cells,9.5,58.7,2,2.3,95.8,Stranded,3.4,0,A11,200,LP16,35.45,496,528,LP16,A11,348.48,0.98,C6,3.4,21.1,UDB299,PE150,40,52.4,1.31,E250009173,,
309,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,H01,R88009536,,8. HH782 ctr wk4 b,Cultured Cells,9.7,60.2,2,2.4,96.2,Stranded,3.3,4.7,A12,200,LP16,29.53,503,527,LP16,A12,347.82,1.18,C6,3.4,21.1,UDB300,PE150,40,53.8,1.35,E250009173,,
310,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,A02,R88009537,,9. HH783 ctr wk4 b,Cultured Cells,9.6,62.8,2,2.4,96,Stranded,3.2,4.8,B1,200,LP16,20.66,470,485,LP16,B1,320.1,1.55,C6,3.4,21.1,UDB301,PE150,40,50,1.25,E250009173,,
311,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,B02,R88009538,,10. HH781 treated wk4 c,Cultured Cells,9.5,59.1,1.9,2.4,95.3,Stranded,3.4,4.6,B2,200,LP16,21.11,509,517,LP16,B2,341.22,1.62,C6,3.4,21.1,UDB302,PE150,40,59.6,1.49,E250009173,,
312,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,C02,R88009539,,11. HH782 treated wk4 c,Cultured Cells,9.6,29.3,1.8,2.1,95.4,Stranded,6.8,1.2,B3,200,LP16,18.96,501,520,LP16,B3,343.2,1.81,C6,3.4,21.1,UDB303,PE150,40,53.2,1.33,E250009173,,
313,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,D02,R88009540,,12. HH783 treated wk4 c,Cultured Cells,9.6,28,1.8,2.1,95.3,Stranded,7.1,0.9,B4,200,LP16,21.69,516,531,LP16,B4,350.46,1.62,C7,3.38,21.7,UDB304,PE150,40,49,1.22,E250009173,,
314,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,E02,R88009541,,13. HH781 ctr wk6 c,Cultured Cells,9.5,56.8,2.1,2.2,95.6,Stranded,3.5,4.5,B5,200,LP16,48.98,506,530,LP16,B5,349.8,0.71,C7,3.38,21.7,UDB305,PE150,40,55.2,1.38,E250009173,,
315,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,F02,R88009542,,14. HH782 ctr wk6 c,Cultured Cells,9.6,58.9,2,2.2,96,Stranded,3.4,4.6,B6,200,LP16,44.52,496,524,LP16,B6,345.84,0.78,C7,3.38,21.7,UDB306,PE150,40,62.3,1.56,E250009173,,
316,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,G02,R88009543,,15. HH783 ctr wk6 c,Cultured Cells,9.5,57.1,2,2.3,94.6,Stranded,3.5,4.5,B7,200,LP16,25.95,514,543,LP16,B7,358.38,1.38,C7,3.38,21.7,UDB307,PE150,40,34.4,0.86,E250009173,,
317,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,H02,R88009544,,16. HH781 treated wk6 c,Cultured Cells,9.4,59.2,1.9,2.3,96.2,Stranded,3.4,4.6,B8,200,LP16,28.71,491,514,LP16,B8,339.24,1.18,C7,3.38,21.7,UDB308,PE150,40,57.1,1.43,E250009173,,
318,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,A03,R88009545,,17. HH782 treated wk6 c,Cultured Cells,9.4,57.2,2,2.3,97,Stranded,3.5,4.5,B9,200,LP16,32.54,489,501,LP16,B9,330.66,1.02,C7,3.38,21.7,UDB309,PE150,40,60.8,1.52,E250009173,,
319,RNA_20240419_130,40M,Fastq,AWS,RNA Box 20,B03,R88009546,,18. HH783 treated wk6 a,Cultured Cells,9.5,56.2,1.9,2.4,96.8,Stranded,3.6,4.4,B10,200,LP16,37.85,497,517,LP16,B10,341.22,0.9,C7,3.38,21.7,UDB310,PE150,40,52.5,1.31,E250009173,,
320,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,C03,R88009547,,U1,Cultured Cells,8.9,22.3,2,0.9,96,Stranded,8,0,B11,178.6,LP16,22.52,476,479,LP16,B11,316.14,1.4,C7,3.38,21.7,UDB311,PE150,40,56.3,1.41,E250009173,,
321,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,D03,R88009548,,U2,Cultured Cells,6.6,55,2.1,0.2,94.3,Stranded,3.6,4.4,B12,200,LP16,56.68,479,484,LP16,B12,319.44,0.56,C7,3.38,21.7,UDB312,PE150,40,49.2,1.23,E250009173,,
322,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,E03,R88009549,,U3,Cultured Cells,7,16.7,2.2,0.1,94.8,Stranded,8,0,C1,133.9,LP16,49.27,449,463,LP16,C1,305.58,0.62,C7,3.38,21.7,UDB313,PE150,40,75.9,1.9,E250009173,,
323,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,F03,R88009550,,U4,Cultured Cells,7.8,41.2,2.1,1.9,96.4,Stranded,4.9,3.1,C2,200,LP16,66.73,491,492,LP16,C2,324.72,0.49,C8,3.64,21.8,UDB314,PE150,40,36.3,0.91,E250009173,,
324,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,G03,R88009551,,U5,Cultured Cells,7.8,34.6,2.2,1.8,96.7,Stranded,5.8,2.2,C3,200,LP16,58.72,482,484,LP16,C3,319.44,0.54,C8,3.64,21.8,UDB315,PE150,40,43.7,1.09,E250009173,,
325,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,H03,R88009552,,C1,Cultured Cells,8.9,27.7,2.2,1.6,95.9,Stranded,7.2,0.8,C4,200,LP16,32.77,497,513,LP16,C4,338.58,1.03,C8,3.64,21.8,UDB316,PE150,40,41.8,1.04,E250009173,,
326,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,A04,R88009553,,C2,Cultured Cells,9.3,14.9,2.2,1.2,97.3,Stranded,8,0,C5,118.9,LP16,33.66,482,501,LP16,C5,330.66,0.98,C8,3.64,21.8,UDB317,PE150,40,36.9,0.92,E250009173,,
327,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,B04,R88009554,,C3,Cultured Cells,9,23.1,2.1,1.6,96.7,Stranded,8,0,C6,184.9,LP16,26.1,479,499,LP16,C6,329.34,1.26,C8,3.64,21.8,UDB318,PE150,40,49.5,1.24,E250009173,,
328,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,C04,R88009555,,4148-1,Cultured Cells,9.3,50.7,1.9,2.3,96.4,Stranded,3.9,4.1,C7,200,LP16,13.72,492,496,LP16,C7,327.36,2.39,C8,3.64,21.8,UDB319,PE150,40,46.7,1.17,E250009173,,
329,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,D04,R88009556,,4148-2,Cultured Cells,9.1,58,2.1,1.5,95.9,Stranded,3.5,4.5,C8,200,LP16,51.53,495,496,LP16,C8,327.36,0.64,C8,3.64,21.8,UDB320,PE150,40,123.6,3.09,E250009173,,
330,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,E04,R88009557,,4148-3,Cultured Cells,9.4,59.5,2.1,2,96.9,Stranded,3.4,4.6,C9,200,LP16,41.64,503,512,LP16,C9,337.92,0.81,C8,3.64,21.8,UDB321,PE150,40,52.5,1.31,E250009173,,
331,RNA_20240419_131,40M,Tertiary,HDD,RNA Box 20,F04,R88009558,,4148-4,Cultured Cells,9,33.8,2,1.7,96.8,Stranded,5.9,2.1,C10,200,LP16,36.55,495,501,LP16,C10,330.66,0.9,C8,3.64,21.8,UDB322,PE150,40,55.1,1.38,E250009173,,
332,Hu Ref RNA,,,,,,Hu Ref RNA,,Hu Ref RNA,,N/A,81.3,N/A,N/A,N/A,Stranded,2.5,5.5,C11,200,LP16,36.23,492,501,LP16,C11,330.66,0.91,C8,3.64,21.8,UDB323,PE150,40,51.9,1.3,E250009173,,
333,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 22,A01,R88009999,,C2402PP-Agg-500ml-Luc-G26WT-B,Cultured cells,10,59,2,1.7,97.4,Stranded,3.4,4.6,A01,200,LP18,18.9,450,471,LP18,A1,348.48,1.84,A1,4.49,21.7,UDB001,PE150,40,59.9,1.5,E200021587,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021587_L01_20881/E200021587_L01/E200021587_L01_UDB001_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021587_L01_20881/E200021587_L01/E200021587_L01_UDB001_2.fq.gz
334,RNA_20240604_138,40M reads,Fastq,AWS,RNA Box 22,B01,R88010000,,C2402PP-S1 Ending-Luc-G26WT-500ml-A,Cultured cells,10,53.7,2,1.4,97.5,Stranded,3.7,4.3,B01,200,LP18,23.9,484,496,LP18,B1,360.36,1.51,A1,4.49,21.7,UDB002,PE150,40,60.3,1.51,E200021587,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021587_L01_20881/E200021587_L01/E200021587_L01_UDB002_1.fq.gz,/storeData/ztron/autorunDW/DNBSEQ-T7/R1100600200038/write_fastq_config_1/ztron/E200021587_L01_20881/E200021587_L01/E200021587_L01_UDB002_2.fq.gz
